1,50452000,2023-10-02 02:22:00.272,"Here''s looking at you. Dogs have three eyelids, an upper lid, a lower lid and the third lid, called a nictitating membrane or '"haw,'" which helps keep the eye moist and protected.",without_numbers,1,f
2,41600412,2024-05-12 08:17:49.657,Dogs are direct descendants of wolves.,without_numbers,1,f
3,34594229,2024-07-11 22:49:15.819,Dachshunds were originally bred for fighting badgers.,without_numbers,1,f
4,78206701,2024-02-13 12:17:10.103,The Chihuahua was named after the state in Mexico where they were discovered.,without_numbers,1,f
5,78779493,2023-10-21 13:42:31.896,"The earliest dog fossil dates back to nearly 10,000 B.C.",with_numbers,1,f
6,96162389,2023-08-05 22:31:44.473,"Dogs can smell about 1,000 times better than humans. While humans have 5 million smell-detecting cells, dogs have more than 220 million. The part of the brain that interprets smell is also four times larger in dogs than in humans.",with_numbers,1,f
7,92352989,2024-04-30 09:51:12.862,"Dogs who bark the most: Miniature Schnauzers, Cairn Terriers, Yorkshire Terriers, Fox Terriers and West Highland White Terriers.",without_numbers,1,f
8,37731569,2024-03-13 11:07:45.588,Dogs can count up to five and can perform simple mathematical calculations.,without_numbers,1,f
9,74874382,2024-04-14 00:25:43.063,"Dogs belong to a biological family called the Canidae, a member of this family is called a canid. This is the origin of the adjective '"canine'" which means '"of or like a dog, relating to or characteristic of dogs'".",without_numbers,1,f
10,30337860,2023-08-03 00:57:14.917,"The border collie or sheep dog is often considered to be the most intelligent breed of dog some of them have been trained to recognize the words for up to 1,000 objects and retrieved them by verbal command.",with_numbers,1,f
11,45725458,2023-12-06 06:04:37.129,"A dog''s heart beats up to 120 times per minute, or 50 faster than the average human heartbeat of 80 times per minute",with_numbers,1,f
12,46249329,2024-05-19 05:23:03.498,"In ancient Greece, kennels of dogs were kept at the sanctuary of Asclepius at Epidaurus. Dogs were frequently sacrificed there because they were plentiful, inexpensive, and easy to control. During the July 25 celebration of the kunophontis '"the massacre of dogs'", dog sacrifices were performed to appease the ancestors of Apollo''s son, Linos, who was devoured by dogs..",with_numbers,1,f
13,43300441,2023-09-02 07:09:10.585,Dalmatians are completely white at birth.,without_numbers,1,f
14,79271318,2023-10-19 07:57:31.759,"The origin of amputating a dog''s tail may go back to the Roman writer Lucius Columella''s '"A.D. 4-70'"} assertion that tail docking prevented rabies. ",with_numbers,1,f
15,18465597,2024-06-02 18:55:44.949,Is it a duck... or a dog? The Newfoundland breed has a water resistant coat and webbed feet. This dog was originally bred to help haul nets for fishermen and rescuing people at risk of drowning.,without_numbers,1,f
16,4355706,2024-01-23 12:12:15.14,Dogs have twice as many muscles to move their ears as people.,without_numbers,1,t
17,33784309,2023-11-14 19:59:10.681,A one year old dog is as physically mature as a 15 year old human.,with_numbers,1,t
